NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA22;Maximilian;111;1;male;2010
DEA22;Alexander;87;2;male;2010
DEA22;Paul;70;3;male;2010
DEA22;Felix;61;4;male;2010
DEA22;Ben;49;5;male;2010
DEA22;Jonas;49;5;male;2010
DEA22;David;48;7;male;2010
DEA22;Jakob;48;7;male;2010
DEA22;Leon;48;7;male;2010
DEA22;Elias;44;10;male;2010
DEA22;Noah;44;10;male;2010
DEA22;Jan;43;12;male;2010
DEA22;Philipp;43;12;male;2010
DEA22;Julian;42;14;male;2010
DEA22;Florian;39;15;male;2010
DEA22;Tim;39;15;male;2010
DEA22;Jonathan;36;17;male;2010
DEA22;Luca;36;17;male;2010
DEA22;Lukas;36;17;male;2010
DEA22;Christian;33;20;male;2010
DEA22;Benjamin;30;21;male;2010
DEA22;Julius;30;21;male;2010
DEA22;Simon;30;21;male;2010
DEA22;Luis;28;24;male;2010
DEA22;Moritz;28;24;male;2010
DEA22;Niklas;27;26;male;2010
DEA22;Daniel;26;27;male;2010
DEA22;Johannes;26;27;male;2010
DEA22;Benedikt;25;29;male;2010
DEA22;Joel;24;30;male;2010
DEA22;Johann;24;30;male;2010
DEA22;Anton;23;32;male;2010
DEA22;Finn;23;32;male;2010
DEA22;Peter;23;32;male;2010
DEA22;Gabriel;22;35;male;2010
DEA22;Leonard;22;35;male;2010
DEA22;Raphael;22;35;male;2010
DEA22;Tom;22;35;male;2010
DEA22;Emil;21;39;male;2010
DEA22;Louis;21;39;male;2010
DEA22;Max;21;39;male;2010
DEA22;Fabian;20;42;male;2010
DEA22;Karl;20;42;male;2010
DEA22;Erik;19;44;male;2010
DEA22;Aaron;18;45;male;2010
DEA22;Ali;18;45;male;2010
DEA22;Frederik;18;45;male;2010
DEA22;Leo;18;45;male;2010
DEA22;Michael;18;45;male;2010
DEA22;Mohamed;18;45;male;2010
DEA22;Ole;18;45;male;2010
DEA22;Valentin;18;45;male;2010
DEA22;Lennart;17;53;male;2010
DEA22;Martin;17;53;male;2010
DEA22;Friedrich;16;55;male;2010
DEA22;Josef;16;55;male;2010
DEA22;Justus;16;55;male;2010
DEA22;Konstantin;16;55;male;2010
DEA22;Lasse;16;55;male;2010
DEA22;Fynn;15;60;male;2010
DEA22;Maria;15;60;male;2010
DEA22;Oliver;15;60;male;2010
DEA22;Philip;15;60;male;2010
DEA22;Samuel;15;60;male;2010
DEA22;Ferdinand;14;65;male;2010
DEA22;Henri;14;65;male;2010
DEA22;Joshua;14;65;male;2010
DEA22;Lucas;14;65;male;2010
DEA22;Nicolas;14;65;male;2010
DEA22;Sebastian;14;65;male;2010
DEA22;Vincent;14;65;male;2010
DEA22;Wilhelm;14;65;male;2010
DEA22;Matthias;13;73;male;2010
DEA22;Nils;13;73;male;2010
DEA22;Tobias;13;73;male;2010
DEA22;Dominik;12;76;male;2010
DEA22;Liam;12;76;male;2010
DEA22;Linus;12;76;male;2010
DEA22;Nico;12;76;male;2010
DEA22;Richard;12;76;male;2010
DEA22;Robin;12;76;male;2010
DEA22;Theo;12;76;male;2010
