NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA22;Marie;155;1;female;2012
DEA22;Sophie;115;2;female;2012
DEA22;Maria;72;3;female;2012
DEA22;Anna;55;4;female;2012
DEA22;Emma;53;5;female;2012
DEA22;Charlotte;50;6;female;2012
DEA22;Johanna;50;6;female;2012
DEA22;Mia;45;8;female;2012
DEA22;Lena;41;9;female;2012
DEA22;Emilia;40;10;female;2012
DEA22;Sophia;40;10;female;2012
DEA22;Katharina;37;12;female;2012
DEA22;Luisa;35;13;female;2012
DEA22;Elisabeth;34;14;female;2012
DEA22;Clara;33;15;female;2012
DEA22;Lina;29;16;female;2012
DEA22;Hanna;27;17;female;2012
DEA22;Lea;27;17;female;2012
DEA22;Leonie;27;17;female;2012
DEA22;Hannah;26;20;female;2012
DEA22;Lara;26;20;female;2012
DEA22;Julia;25;22;female;2012
DEA22;Laura;25;22;female;2012
DEA22;Antonia;23;24;female;2012
DEA22;Greta;23;24;female;2012
DEA22;Luise;23;24;female;2012
DEA22;Marlene;23;24;female;2012
DEA22;Paula;22;28;female;2012
DEA22;Franziska;21;29;female;2012
DEA22;Amelie;20;30;female;2012
DEA22;Emily;19;31;female;2012
DEA22;Sara;19;31;female;2012
DEA22;Sarah;19;31;female;2012
DEA22;Lilly;18;34;female;2012
DEA22;Sofia;18;34;female;2012
DEA22;Ida;17;36;female;2012
DEA22;Josefine;17;36;female;2012
DEA22;Magdalena;17;36;female;2012
DEA22;Maja;17;36;female;2012
DEA22;Nele;17;36;female;2012
DEA22;Alexandra;16;41;female;2012
DEA22;Alina;16;41;female;2012
DEA22;Elisa;16;41;female;2012
DEA22;Eva;16;41;female;2012
DEA22;Isabella;16;41;female;2012
DEA22;Lotta;16;41;female;2012
DEA22;Victoria;16;41;female;2012
DEA22;Carlotta;15;48;female;2012
DEA22;Elena;15;48;female;2012
DEA22;Helena;15;48;female;2012
DEA22;Lisa;15;48;female;2012
DEA22;Pia;15;48;female;2012
DEA22;Christine;14;53;female;2012
DEA22;Maya;14;53;female;2012
DEA22;Annika;13;55;female;2012
DEA22;Caroline;13;55;female;2012
DEA22;Jasmin;13;55;female;2012
DEA22;Leni;13;55;female;2012
DEA22;Luna;13;55;female;2012
DEA22;Fiona;12;60;female;2012
DEA22;Frida;12;60;female;2012
DEA22;Helene;12;60;female;2012
