NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA14;Marie;41;1;female;2014
DEA14;Mia;28;2;female;2014
DEA14;Sophie;28;2;female;2014
DEA14;Maria;20;4;female;2014
DEA14;Emilia;14;5;female;2014
DEA14;Anna;11;6;female;2014
DEA14;Julia;11;6;female;2014
DEA14;Lina;11;6;female;2014
DEA14;Emily;10;9;female;2014
DEA14;Katharina;10;9;female;2014
DEA14;Lea;10;9;female;2014
DEA14;Sophia;10;9;female;2014
DEA14;Charlotte;9;13;female;2014
DEA14;Lena;9;13;female;2014
DEA14;Luisa;9;13;female;2014
DEA14;Emma;8;16;female;2014
DEA14;Hanna;8;16;female;2014
DEA14;Leonie;8;16;female;2014
DEA14;Viktoria;8;16;female;2014
DEA14;Emely;7;20;female;2014
DEA14;Hannah;7;20;female;2014
DEA14;Lara;7;20;female;2014
DEA14;Laura;7;20;female;2014
DEA14;Lia;7;20;female;2014
DEA14;Amelie;6;25;female;2014
DEA14;Elif;6;25;female;2014
DEA14;Elisa;6;25;female;2014
DEA14;Josefine;6;25;female;2014
DEA14;Mira;6;25;female;2014
DEA14;Nele;6;25;female;2014
DEA14;Nisa;6;25;female;2014
DEA14;Amalia;5;32;female;2014
DEA14;Greta;5;32;female;2014
DEA14;Ida;5;32;female;2014
DEA14;Johanna;5;32;female;2014
DEA14;Lotta;5;32;female;2014
DEA14;Sarah;5;32;female;2014
DEA14;Sofia;5;32;female;2014
DEA14;Theresa;5;32;female;2014
DEA14;Victoria;5;32;female;2014
DEA14;Zoe;5;32;female;2014
DEA14;Alexandra;4;42;female;2014
DEA14;Anastasia;4;42;female;2014
DEA14;Jana;4;42;female;2014
DEA14;Liana;4;42;female;2014
DEA14;Lilly;4;42;female;2014
DEA14;Linda;4;42;female;2014
DEA14;Medina;4;42;female;2014
DEA14;Melia;4;42;female;2014
DEA14;Melina;4;42;female;2014
DEA14;Mina;4;42;female;2014
DEA14;Olivia;4;42;female;2014
DEA14;Ronja;4;42;female;2014
DEA14;Valentina;4;42;female;2014
DEA14;Zoey;4;42;female;2014
DEA14;Ada;3;56;female;2014
DEA14;Adriana;3;56;female;2014
DEA14;Alexis;3;56;female;2014
DEA14;Alina;3;56;female;2014
DEA14;Amy;3;56;female;2014
DEA14;Antonia;3;56;female;2014
DEA14;Aurora;3;56;female;2014
DEA14;Bianca;3;56;female;2014
DEA14;Elena;3;56;female;2014
DEA14;Ella;3;56;female;2014
DEA14;Ellen;3;56;female;2014
DEA14;Elvin;3;56;female;2014
DEA14;Emelie;3;56;female;2014
DEA14;Eva;3;56;female;2014
DEA14;Fiona;3;56;female;2014
DEA14;Jasmin;3;56;female;2014
DEA14;Jolie;3;56;female;2014
DEA14;Klara;3;56;female;2014
DEA14;Kristin;3;56;female;2014
DEA14;Leni;3;56;female;2014
DEA14;Lisa;3;56;female;2014
DEA14;Lotte;3;56;female;2014
DEA14;Lucy;3;56;female;2014
DEA14;Mara;3;56;female;2014
DEA14;Martha;3;56;female;2014
DEA14;Maya;3;56;female;2014
DEA14;Mia-Sophie;3;56;female;2014
DEA14;Michelle;3;56;female;2014
DEA14;Milou;3;56;female;2014
DEA14;Pia;3;56;female;2014
DEA14;Rosa;3;56;female;2014
DEA14;Sara;3;56;female;2014
DEA14;Sofie;3;56;female;2014
DEA14;Zofia;3;56;female;2014
DEA14;Aaliyah;2;90;female;2014
DEA14;Alena;2;90;female;2014
DEA14;Alessia;2;90;female;2014
DEA14;Alicia;2;90;female;2014
DEA14;Amina;2;90;female;2014
DEA14;Amira;2;90;female;2014
DEA14;Angelie;2;90;female;2014
DEA14;Annabell;2;90;female;2014
DEA14;Annika;2;90;female;2014
DEA14;Audrey;2;90;female;2014
DEA14;Aylin;2;90;female;2014
DEA14;Azra;2;90;female;2014
DEA14;Bella;2;90;female;2014
DEA14;Blanka;2;90;female;2014
DEA14;Carlotta;2;90;female;2014
DEA14;Carolin;2;90;female;2014
DEA14;Carolina;2;90;female;2014
DEA14;Cataleya;2;90;female;2014
DEA14;Chiara;2;90;female;2014
DEA14;Christiane;2;90;female;2014
DEA14;Dalia;2;90;female;2014
DEA14;Diana;2;90;female;2014
DEA14;Ecrin;2;90;female;2014
DEA14;Ela;2;90;female;2014
DEA14;Eleni;2;90;female;2014
DEA14;Elmedina;2;90;female;2014
DEA14;Frida;2;90;female;2014
DEA14;Frieda;2;90;female;2014
DEA14;Gina;2;90;female;2014
DEA14;Giorgia;2;90;female;2014
DEA14;Giulia;2;90;female;2014
DEA14;Hatice;2;90;female;2014
DEA14;Helin;2;90;female;2014
DEA14;Henriette;2;90;female;2014
DEA14;Hira;2;90;female;2014
DEA14;Isabella;2;90;female;2014
DEA14;Isabelle;2;90;female;2014
DEA14;Ivy;2;90;female;2014
DEA14;Jamie;2;90;female;2014
DEA14;Joleen;2;90;female;2014
DEA14;Jolina;2;90;female;2014
DEA14;Josephine;2;90;female;2014
DEA14;Jule;2;90;female;2014
DEA14;Julie;2;90;female;2014
DEA14;Lee;2;90;female;2014
DEA14;Leonore;2;90;female;2014
DEA14;Letizia;2;90;female;2014
DEA14;Louisa;2;90;female;2014
DEA14;Lucia;2;90;female;2014
DEA14;Luna;2;90;female;2014
DEA14;Maike;2;90;female;2014
DEA14;Malea;2;90;female;2014
DEA14;Malin;2;90;female;2014
DEA14;Margret;2;90;female;2014
DEA14;Marie-Sophie;2;90;female;2014
DEA14;Marina;2;90;female;2014
DEA14;Marlene;2;90;female;2014
DEA14;Masal;2;90;female;2014
DEA14;Matilda;2;90;female;2014
DEA14;Melek;2;90;female;2014
DEA14;Meryem;2;90;female;2014
DEA14;Mila;2;90;female;2014
DEA14;Milla;2;90;female;2014
DEA14;Monika;2;90;female;2014
DEA14;Natascha;2;90;female;2014
DEA14;Nicola;2;90;female;2014
DEA14;Nicole;2;90;female;2014
DEA14;Noemi;2;90;female;2014
DEA14;Paula;2;90;female;2014
DEA14;Paulina;2;90;female;2014
DEA14;Pauline;2;90;female;2014
DEA14;Polina;2;90;female;2014
DEA14;Selina;2;90;female;2014
DEA14;Sibel;2;90;female;2014
DEA14;Sina;2;90;female;2014
DEA14;Sonja;2;90;female;2014
DEA14;Stella;2;90;female;2014
DEA14;Su;2;90;female;2014
DEA14;Sümeyye;2;90;female;2014
DEA14;Tilda;2;90;female;2014
DEA14;Vivien;2;90;female;2014
DEA14;Zeynep;2;90;female;2014
DEA14;Zoé;2;90;female;2014
DEA14;Acelya;1;176;female;2014
DEA14;Adele;1;176;female;2014
DEA14;Adelina;1;176;female;2014
DEA14;Adrianne;1;176;female;2014
DEA14;Adrijana;1;176;female;2014
DEA14;Aenne;1;176;female;2014
DEA14;Aleksandra;1;176;female;2014
DEA14;Aleyna;1;176;female;2014
DEA14;Alica;1;176;female;2014
DEA14;Alisia;1;176;female;2014
DEA14;Alissa;1;176;female;2014
DEA14;Almila;1;176;female;2014
DEA14;Almina;1;176;female;2014
DEA14;Almira;1;176;female;2014
DEA14;Alwine;1;176;female;2014
DEA14;Amanda;1;176;female;2014
DEA14;Amelia-Marie;1;176;female;2014
DEA14;Amely-Yvonne;1;176;female;2014
DEA14;Amia;1;176;female;2014
DEA14;Amilia;1;176;female;2014
DEA14;Amine;1;176;female;2014
DEA14;An;1;176;female;2014
DEA14;Anabelle;1;176;female;2014
DEA14;Anais-Alina;1;176;female;2014
DEA14;Anastasia-Hypatia;1;176;female;2014
DEA14;Andrea;1;176;female;2014
DEA14;Angelika;1;176;female;2014
DEA14;Angelina-Julia;1;176;female;2014
DEA14;Anh-Nhi;1;176;female;2014
DEA14;Anisa;1;176;female;2014
DEA14;Anja;1;176;female;2014
DEA14;Anna-Lena;1;176;female;2014
DEA14;Anna-Marie;1;176;female;2014
DEA14;Anna-Sophie;1;176;female;2014
DEA14;Annabel;1;176;female;2014
DEA14;Annabelle;1;176;female;2014
DEA14;Annalena;1;176;female;2014
DEA14;Annastasja;1;176;female;2014
DEA14;Antonella;1;176;female;2014
DEA14;Apostolia;1;176;female;2014
DEA14;Ariana;1;176;female;2014
DEA14;Ariella;1;176;female;2014
DEA14;Arlinda;1;176;female;2014
DEA14;Asamoa;1;176;female;2014
DEA14;Ashanti;1;176;female;2014
DEA14;Ashley;1;176;female;2014
DEA14;Asya;1;176;female;2014
DEA14;Asyanur;1;176;female;2014
DEA14;Aurelia;1;176;female;2014
DEA14;Ava;1;176;female;2014
DEA14;Ayda;1;176;female;2014
DEA14;Ayla;1;176;female;2014
DEA14;Aymina;1;176;female;2014
DEA14;Aysha;1;176;female;2014
