NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA14;Marie;47;1;female;2011
DEA14;Sophie;45;2;female;2011
DEA14;Maria;24;3;female;2011
DEA14;Mia;22;4;female;2011
DEA14;Johanna;20;5;female;2011
DEA14;Anna;19;6;female;2011
DEA14;Melina;18;7;female;2011
DEA14;Emilia;17;8;female;2011
DEA14;Leonie;15;9;female;2011
DEA14;Emily;14;10;female;2011
DEA14;Lea;13;11;female;2011
DEA14;Lina;13;11;female;2011
DEA14;Sophia;13;11;female;2011
DEA14;Julia;12;14;female;2011
DEA14;Emma;11;15;female;2011
DEA14;Katharina;11;15;female;2011
DEA14;Charlotte;9;17;female;2011
DEA14;Franziska;9;17;female;2011
DEA14;Hanna;9;17;female;2011
DEA14;Laura;9;17;female;2011
DEA14;Lena;9;17;female;2011
DEA14;Lisa;9;17;female;2011
DEA14;Paula;9;17;female;2011
DEA14;Lotta;8;24;female;2011
DEA14;Alina;7;25;female;2011
DEA14;Alexandra;6;26;female;2011
DEA14;Greta;6;26;female;2011
DEA14;Hannah;6;26;female;2011
DEA14;Josephine;6;26;female;2011
DEA14;Lara;6;26;female;2011
DEA14;Leni;6;26;female;2011
DEA14;Louisa;6;26;female;2011
DEA14;Luise;6;26;female;2011
DEA14;Luna;6;26;female;2011
DEA14;Nina;6;26;female;2011
DEA14;Valentina;6;26;female;2011
DEA14;Zoe;6;26;female;2011
DEA14;Annika;5;38;female;2011
DEA14;Elisabeth;5;38;female;2011
DEA14;Fiona;5;38;female;2011
DEA14;Jolie;5;38;female;2011
DEA14;Jule;5;38;female;2011
DEA14;Klara;5;38;female;2011
DEA14;Luisa;5;38;female;2011
DEA14;Maya;5;38;female;2011
DEA14;Nur;5;38;female;2011
DEA14;Sarah;5;38;female;2011
DEA14;Amelie;4;48;female;2011
DEA14;Carla;4;48;female;2011
DEA14;Carolina;4;48;female;2011
DEA14;Celina;4;48;female;2011
DEA14;Elena;4;48;female;2011
DEA14;Elif;4;48;female;2011
DEA14;Finja;4;48;female;2011
DEA14;Helena;4;48;female;2011
DEA14;Ida;4;48;female;2011
DEA14;Jana;4;48;female;2011
DEA14;Jolina;4;48;female;2011
DEA14;Larissa;4;48;female;2011
DEA14;Leandra;4;48;female;2011
DEA14;Lia;4;48;female;2011
DEA14;Liana;4;48;female;2011
DEA14;Lilly;4;48;female;2011
DEA14;Liya;4;48;female;2011
DEA14;Marlene;4;48;female;2011
DEA14;Romy;4;48;female;2011
DEA14;Sofie;4;48;female;2011
DEA14;Zeynep;4;48;female;2011
DEA14;Adele;3;69;female;2011
DEA14;Alissa;3;69;female;2011
DEA14;Amina;3;69;female;2011
DEA14;Anita;3;69;female;2011
DEA14;Aylin;3;69;female;2011
DEA14;Azra;3;69;female;2011
DEA14;Daniela;3;69;female;2011
DEA14;Diana;3;69;female;2011
DEA14;Ecrin;3;69;female;2011
DEA14;Edda;3;69;female;2011
DEA14;Ela;3;69;female;2011
DEA14;Elaine;3;69;female;2011
DEA14;Henrike;3;69;female;2011
DEA14;Isabella;3;69;female;2011
DEA14;Jasmin;3;69;female;2011
DEA14;Kira;3;69;female;2011
DEA14;Luana;3;69;female;2011
DEA14;Lucy;3;69;female;2011
DEA14;Maja;3;69;female;2011
DEA14;Matilda;3;69;female;2011
DEA14;Merve;3;69;female;2011
DEA14;Michelle;3;69;female;2011
DEA14;Mila;3;69;female;2011
DEA14;Milena;3;69;female;2011
DEA14;Nele;3;69;female;2011
DEA14;Rosa;3;69;female;2011
DEA14;Samantha;3;69;female;2011
DEA14;Sara;3;69;female;2011
DEA14;Selina;3;69;female;2011
DEA14;Sena;3;69;female;2011
DEA14;Sofia;3;69;female;2011
DEA14;Su;3;69;female;2011
DEA14;Summer;3;69;female;2011
DEA14;Vanessa;3;69;female;2011
DEA14;Yaren;3;69;female;2011
DEA14;Alea;2;104;female;2011
DEA14;Aleksandra;2;104;female;2011
DEA14;Amelia;2;104;female;2011
DEA14;Anastasia;2;104;female;2011
DEA14;Angelika;2;104;female;2011
DEA14;Angelina;2;104;female;2011
DEA14;Anika;2;104;female;2011
DEA14;Annalena;2;104;female;2011
DEA14;Antonia;2;104;female;2011
DEA14;Ashley;2;104;female;2011
DEA14;Ayleen;2;104;female;2011
DEA14;Bella;2;104;female;2011
DEA14;Beyza;2;104;female;2011
DEA14;Carlotta;2;104;female;2011
DEA14;Carolin;2;104;female;2011
DEA14;Celine;2;104;female;2011
DEA14;Ceylin;2;104;female;2011
DEA14;Charlotta;2;104;female;2011
DEA14;Christin;2;104;female;2011
DEA14;Clara;2;104;female;2011
DEA14;Dilara;2;104;female;2011
DEA14;Eda;2;104;female;2011
