NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA1F024;Sophie;49;1;female;2011
DEA1F024;Marie;37;2;female;2011
DEA1F024;Mia;29;3;female;2011
DEA1F024;Johanna;16;4;female;2011
DEA1F024;Anna;14;5;female;2011
DEA1F024;Lara;14;6;female;2011
DEA1F024;Laura;13;7;female;2011
DEA1F024;Sophia;13;8;female;2011
DEA1F024;Charlotte;11;9;female;2011
DEA1F024;Leonie;11;10;female;2011
DEA1F024;Maria;11;11;female;2011
DEA1F024;Nele;11;12;female;2011
DEA1F024;Emilia;10;13;female;2011
DEA1F024;Emma;10;14;female;2011
DEA1F024;Katharina;10;15;female;2011
DEA1F024;Lea;10;16;female;2011
DEA1F024;Lina;10;17;female;2011
DEA1F024;Lilly;9;18;female;2011
DEA1F024;Emily;8;19;female;2011
DEA1F024;Hanna;8;20;female;2011
DEA1F024;Hannah;8;21;female;2011
DEA1F024;Lena;8;22;female;2011
DEA1F024;Leni;8;23;female;2011
DEA1F024;Luisa;8;24;female;2011
DEA1F024;Sofie;8;25;female;2011
DEA1F024;Amelie;7;26;female;2011
DEA1F024;Ela;7;27;female;2011
DEA1F024;Fabienne;7;28;female;2011
DEA1F024;Jana;7;29;female;2011
DEA1F024;Leyla;6;30;female;2011
