NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA1F024;Sophie;37;1;female;2009
DEA1F024;Marie;25;2;female;2009
DEA1F024;Mia;15;3;female;2009
DEA1F024;Anna;14;4;female;2009
DEA1F024;Emilia;14;5;female;2009
DEA1F024;Johanna;11;6;female;2009
DEA1F024;Katharina;11;7;female;2009
DEA1F024;Lea;11;8;female;2009
DEA1F024;Leonie;11;9;female;2009
DEA1F024;Hannah;10;10;female;2009
DEA1F024;Lina;10;11;female;2009
DEA1F024;Charlotte;9;12;female;2009
DEA1F024;Emily;9;13;female;2009
DEA1F024;Emma;9;14;female;2009
DEA1F024;Julia;9;15;female;2009
DEA1F024;Laura;9;16;female;2009
DEA1F024;Maria;9;17;female;2009
DEA1F024;Sarah;9;18;female;2009
DEA1F024;Celine;8;19;female;2009
DEA1F024;Jana;8;20;female;2009
DEA1F024;Lena;8;21;female;2009
DEA1F024;Luisa;8;22;female;2009
DEA1F024;Maya;8;23;female;2009
DEA1F024;Lara;7;24;female;2009
DEA1F024;Lilly;7;25;female;2009
DEA1F024;Melina;7;26;female;2009
DEA1F024;Sophia;7;27;female;2009
DEA1F024;Amelie;6;28;female;2009
DEA1F024;Ceylin;6;29;female;2009
DEA1F024;Jasmin;6;30;female;2009
