NUTS;GIVENNAME;COUNT;RANKING;SEX;YEAR
DEA1F024;Sophie;43;1;female;2013
DEA1F024;Marie;40;2;female;2013
DEA1F024;Mia;23;3;female;2013
DEA1F024;Maria;19;4;female;2013
DEA1F024;Lina;18;5;female;2013
DEA1F024;Anna;14;6;female;2013
DEA1F024;Emily;13;7;female;2013
DEA1F024;Emma;13;8;female;2013
DEA1F024;Luisa;13;9;female;2013
DEA1F024;Sophia;13;10;female;2013
DEA1F024;Johanna;12;11;female;2013
DEA1F024;Charlotte;10;12;female;2013
DEA1F024;Jana;9;13;female;2013
DEA1F024;Lena;9;14;female;2013
DEA1F024;Elisa;8;15;female;2013
DEA1F024;Ella;8;16;female;2013
DEA1F024;Emilia;8;17;female;2013
DEA1F024;Leonie;8;18;female;2013
DEA1F024;Lilly;8;19;female;2013
DEA1F024;Maya;8;20;female;2013
DEA1F024;Mila;8;21;female;2013
DEA1F024;Katharina;7;22;female;2013
DEA1F024;Laura;7;23;female;2013
DEA1F024;Lisa;7;24;female;2013
DEA1F024;Nele;7;25;female;2013
DEA1F024;Elif;6;26;female;2013
DEA1F024;Fabienne;6;27;female;2013
DEA1F024;Lotta;6;28;female;2013
DEA1F024;Olivia;6;29;female;2013
DEA1F024;Sara;6;30;female;2013
